Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
911387,665,8/30/2015 14:08,Temporary Transbay Terminal (Howard at Beale),55,8/30/2015 14:19,Washington at Kearny,46,407,Subscriber,94608
911386,470,8/30/2015 14:00,San Jose Civic Center,3,8/30/2015 14:08,SJSU 4th at San Carlos,12,145,Subscriber,95125
911385,456,8/30/2015 13:59,Golden Gate at Polk,59,8/30/2015 14:07,Market at 4th,76,546,Subscriber,94102
911384,1339,8/30/2015 13:57,Golden Gate at Polk,59,8/30/2015 14:19,Yerba Buena Center of the Arts (3rd @ Howard),68,672,Subscriber,94043
911383,577,8/30/2015 13:55,Yerba Buena Center of the Arts (3rd @ Howard),68,8/30/2015 14:05,Embarcadero at Bryant,54,376,Subscriber,94105
911382,1411,8/30/2015 13:55,Mountain View Caltrain Station,28,8/30/2015 14:19,Rengstorff Avenue / California Street,33,182,Customer,94022
911381,1409,8/30/2015 13:55,Mountain View Caltrain Station,28,8/30/2015 14:18,Rengstorff Avenue / California Street,33,107,Customer,94022
911380,628,8/30/2015 13:52,SJSU - San Salvador at 9th,16,8/30/2015 14:03,San Pedro Square,6,83,Customer,94507
911379,676,8/30/2015 13:51,SJSU - San Salvador at 9th,16,8/30/2015 14:02,San Pedro Square,6,63,Customer,nil
911378,801,8/30/2015 13:49,SJSU - San Salvador at 9th,16,8/30/2015 14:02,San Pedro Square,6,656,Customer,nil
911376,289,8/30/2015 13:48,Townsend at 7th,65,8/30/2015 13:53,2nd at Townsend,61,427,Subscriber,94111
911375,699,8/30/2015 13:47,Civic Center BART (7th at Market),72,8/30/2015 13:59,Harry Bridges Plaza (Ferry Building),50,709,Customer,31
911374,944,8/30/2015 13:47,SJSU - San Salvador at 9th,16,8/30/2015 14:03,San Pedro Square,6,43,Customer,92109
911373,686,8/30/2015 13:46,Grant Avenue at Columbus Avenue,73,8/30/2015 13:58,Embarcadero at Folsom,51,528,Subscriber,94105
911372,681,8/30/2015 13:46,Grant Avenue at Columbus Avenue,73,8/30/2015 13:58,Embarcadero at Folsom,51,317,Subscriber,94105
911371,1029,8/30/2015 13:45,SJSU - San Salvador at 9th,16,8/30/2015 14:02,San Pedro Square,6,61,Customer,94566
911370,1172,8/30/2015 13:42,SJSU - San Salvador at 9th,16,8/30/2015 14:02,San Pedro Square,6,208,Customer,95112
911369,940,8/30/2015 13:35,Post at Kearny,47,8/30/2015 13:51,Embarcadero at Bryant,54,387,Customer,nil
911368,2807,8/30/2015 13:34,Embarcadero at Sansome,60,8/30/2015 14:21,Embarcadero at Sansome,60,501,Customer,84105
911367,2834,8/30/2015 13:34,Embarcadero at Sansome,60,8/30/2015 14:21,Embarcadero at Sansome,60,455,Customer,84104
911366,378,8/30/2015 13:30,Market at Sansome,77,8/30/2015 13:37,2nd at South Park,64,541,Subscriber,94105
911365,1166,8/30/2015 13:25,Powell at Post (Union Square),71,8/30/2015 13:44,Embarcadero at Sansome,60,632,Subscriber,94109
911364,801,8/30/2015 13:22,Yerba Buena Center of the Arts (3rd @ Howard),68,8/30/2015 13:36,Steuart at Market,74,405,Customer,84041
911363,605,8/30/2015 13:22,Grant Avenue at Columbus Avenue,73,8/30/2015 13:32,Temporary Transbay Terminal (Howard at Beale),55,478,Subscriber,94133
911362,835,8/30/2015 13:22,Yerba Buena Center of the Arts (3rd @ Howard),68,8/30/2015 13:36,Steuart at Market,74,426,Customer,84041
911361,307,8/30/2015 13:18,Steuart at Market,74,8/30/2015 13:24,Embarcadero at Bryant,54,392,Subscriber,95131
911360,26961,8/30/2015 13:17,San Francisco Caltrain (Townsend at 4th),70,8/30/2015 20:46,San Francisco Caltrain (Townsend at 4th),70,564,Customer,94301
911359,26978,8/30/2015 13:17,San Francisco Caltrain (Townsend at 4th),70,8/30/2015 20:46,San Francisco Caltrain (Townsend at 4th),70,67,Customer,94301
911358,632,8/30/2015 13:12,Market at 4th,76,8/30/2015 13:22,San Francisco City Hall,58,357,Subscriber,94109
911357,329,8/30/2015 13:10,2nd at Folsom,62,8/30/2015 13:16,Market at 4th,76,652,Subscriber,94105
911356,745,8/30/2015 13:09,San Francisco City Hall,58,8/30/2015 13:21,Commercial at Montgomery,45,620,Subscriber,94111
911355,4586,8/30/2015 13:06,Market at 4th,76,8/30/2015 14:22,Market at 4th,76,479,Customer,nil
911354,533,8/30/2015 13:06,5th at Howard,57,8/30/2015 13:14,Embarcadero at Bryant,54,521,Subscriber,94109
911353,17145,8/30/2015 13:05,Embarcadero at Vallejo,48,8/30/2015 17:50,Grant Avenue at Columbus Avenue,73,338,Customer,94133
911351,10541,8/30/2015 13:00,Davis at Jackson,42,8/30/2015 15:56,Grant Avenue at Columbus Avenue,73,604,Customer,94133
911350,10573,8/30/2015 13:00,Davis at Jackson,42,8/30/2015 15:56,Grant Avenue at Columbus Avenue,73,494,Customer,94133
911349,5281,8/30/2015 12:57,Steuart at Market,74,8/30/2015 14:25,Powell at Post (Union Square),71,448,Customer,2446
911348,5295,8/30/2015 12:56,Steuart at Market,74,8/30/2015 14:25,Powell at Post (Union Square),71,602,Customer,2446
